task_id,mec_id,distance_m,link_distance_3d_m,elevation_deg,los_probability,los_state,free_space_path_loss_db,path_loss_offset_db,path_loss_db,channel_gain,ul_rate_mbps,dl_rate_mbps,ul_available,dl_available,mec_available
7,3,5334.150331349133,5335.499953840508,1.288740208370082,0.026747415513738333,average_los_nlos,113.01188554484722,0.0,132.5036846500862,5.618644247532532e-14,2.335149130549907,13.461068371819698,0,1,0
8,1,5614.135512416193,5615.417843025809,1.2244889234652827,0.026481099301065694,average_los_nlos,113.45602468787396,0.0,132.95288380115372,5.066541681759277e-14,2.114773156517735,12.516337768937007,0,1,0
8,2,926.8480888306476,934.5840677911345,7.377107471455211,0.06785805373793313,average_los_nlos,97.88075059853787,0.0,116.59144757751714,2.1920741578945366e-12,40.02620728947638,66.61278151834166,1,1,1
8,3,4592.535080270919,4594.1025743358205,1.4967614464396348,0.027627632077348384,average_los_nlos,111.71239688778378,0.0,131.18747187831417,7.607690080855146e-14,3.1139372964461143,16.491935038315987,0,1,0
9,1,5581.770615774963,5583.060380036097,1.2315867225483086,0.026510391882107843,average_los_nlos,113.40582962939064,0.0,132.90213218363058,5.126096547374127e-14,2.1386351243270503,12.620761352874288,0,1,0
9,2,1407.5432198416088,1412.6492543168963,4.872964298841969,0.046498101373803814,average_los_nlos,101.46907002643383,0.0,120.58560610033155,8.73855029083079e-13,23.41118636862724,51.23905448663355,1,1,1
9,3,4502.836151296515,4504.4348597157905,1.526563772169282,0.027756020220108635,average_los_nlos,111.54118935132945,0.0,131.0138249671474,7.918036570826184e-14,3.2333708633188545,16.920406677424452,0,1,0
10,1,6461.346576468827,6462.46079920377,1.0639737597908414,0.025827000709021306,average_los_nlos,114.67634156941614,0.0,134.18562855594473,3.814495829506612e-14,1.607969476159636,10.161193255242248,0,1,0
10,2,1357.1576861667124,1362.4525625214937,5.052956928116426,0.047791732521698854,average_los_nlos,101.1548109366129,0.0,120.24676801870064,9.447636995636267e-13,24.633734782133477,52.522284923383594,1,1,1
10,3,3498.101342848485,3500.1589970797572,1.9647225092697675,0.02971180709108176,average_los_nlos,109.35013859351706,0.0,128.7856142587865,1.322630624136292e-13,5.195483133093069,22.96825957012084,0,1,0
11,1,6898.185127925379,6899.228801766968,0.9966099769334593,0.02555720289986625,average_los_nlos,115.24439409235595,0.0,134.75880723725848,3.3428683721727996e-14,1.4144697329824383,9.183790803031357,0,0,0
11,2,1357.161706254359,1362.4565669859876,5.052942038094283,0.04779162410415085,average_los_nlos,101.15483646578471,0.0,120.24679560780584,9.44757697852024e-13,24.633633703371174,52.52218023808219,1,1,1
11,3,3008.071767857381,3010.4643762351066,2.2844700105986555,0.03122271044330201,average_los_nlos,108.04105298379045,0.0,127.44782148536771,1.7997734938701367e-13,6.8409296119277325,27.03827058571326,0,1,0
12,1,7792.763584894412,7793.68746422747,0.8822223452343549,0.02510534498989749,average_los_nlos,116.303242857181,0.0,135.82624130237295,2.6144230857963633e-14,1.1127401509764825,7.556600691740981,0,0,0
12,2,2339.453158705124,2342.5287792843405,2.93635845194576,0.03453665639716376,average_los_nlos,105.86208183805711,0.0,125.205885366511,3.015861987293973e-13,10.61632114697205,34.445368599132635,0,1,0
12,3,2526.493694893455,2529.341888779843,2.719314252198736,0.03339725324551494,average_los_nlos,106.52853386499359,0.0,125.8939860533288,2.573957635781318e-13,9.30701800139422,32.10412165227299,0,1,0
13,1,7906.274313309665,7907.184930005128,0.8695581991820032,0.025055799751354864,average_los_nlos,116.42882105552073,0.0,135.95276086024498,2.5393578931474227e-14,1.0814471877417213,7.379889478613338,0,0,0
13,2,2718.6357021926256,2721.282800672578,2.5273829539930013,0.032419988775352473,average_los_nlos,107.16385667115935,0.0,126.54787688442767,2.2141768795914944e-13,8.190023725963501,29.932375060303247,0,1,0
13,3,2298.698162707579,2301.8282392991878,2.9883253679121737,0.034814976488007104,average_los_nlos,105.70984141063357,0.0,125.04835685736144,3.127262335442757e-13,10.936224213132263,34.98878959054477,0,1,0
14,1,8653.050764637252,8653.882801112419,0.7945235749703112,0.024764194567503874,average_los_nlos,117.21260332085987,0.0,136.7420836240773,2.117345048285983e-14,0.904814283478776,6.351385176005096,0,0,0
14,2,3118.680440471143,3120.9882553090906,2.203529194929381,0.030833353895014223,average_los_nlos,108.35422582238154,0.0,127.76839209837627,1.6717094217983033e-13,6.40943108498564,26.036356159529458,0,1,0
14,3,1258.019915671941,1263.7302355436611,5.448843449295086,0.05075825340263646,average_los_nlos,100.50147066284823,0.0,119.53706384819813,1.112483594257508e-12,27.315089567163053,55.22530380625933,1,1,1
15,1,9775.6934760386,9776.429968933631,0.7032900783143019,0.02441408973182995,average_los_nlos,118.27198900833088,0.0,137.8081213034261,1.6564863811087887e-14,0.7105401287405958,5.1536837258889765,0,0,0
15,2,4255.996606256787,4257.688000836756,1.6150559012156795,0.028140668141668542,average_los_nlos,111.05185980713172,0.0,130.51718711244,8.877308013884327e-14,3.5991011790764125,18.181479081176892,0,1,0
15,3,1247.1730174347597,1252.9327737022938,5.495944147741734,0.05112258897900231,average_los_nlos,100.42693852482451,0.0,119.45560933422345,1.1335457854978571e-12,27.63305746641115,55.536757118669016,1,1,1
16,1,10802.064432208177,10802.730950902043,0.6364719236471543,0.024160743849924747,average_los_nlos,119.1390543318988,0.0,138.68000019875024,1.3551893503322423e-14,0.5827386516268067,4.323339336543397,0,0,0
16,2,5293.225211309619,5294.585265877183,1.2987008376218954,0.026788934021370208,average_los_nlos,112.94502206975453,0.0,132.43603232334848,5.706854074218584e-14,2.37018613508128,13.607344472319621,0,1,0
16,3,939.3639211597255,946.9976643986905,7.279878309552298,0.06688063329158112,average_los_nlos,97.99536129305294,0.0,116.7246292605129,2.1258718144780776e-12,39.4024135653973,66.09337259656621,1,1,1
